Date,Exercise,Reps,Weight,
24/05/2020,Snatch Pull,3,90,
24/05/2020,Snatch Pull,3,90,
24/05/2020,Snatch Pull,3,90,
24/05/2020,Snatch Pull,3,90,
24/05/2020,Snatch Pull,3,90,
,,,,
24/05/2020,Seated Press,5,50,
24/05/2020,Seated Press,5,50,
24/05/2020,Seated Press,5,50,
24/05/2020,Seated Press,5,50,
24/05/2020,Seated Press,5,50,
,,,,
06/06/2020,Front Squat,3,20,
06/06/2020,Front Squat,3,50,
06/06/2020,Front Squat,3,60,
06/06/2020,Front Squat,3,70,
06/06/2020,Front Squat,3,80,
06/06/2020,Front Squat,3,90,
06/06/2020,Front Squat,1,95,
06/06/2020,Front Squat,1,100,
,,,,
06/06/2020,Clean Pull,3,90,
06/06/2020,Clean Pull,3,90,
06/06/2020,Clean Pull,3,90,
06/06/2020,Clean Pull,3,90,
06/06/2020,Clean Pull,3,90,
,,,,
06/06/2020,Seated Press,5,50,
06/06/2020,Seated Press,5,50,
06/06/2020,Seated Press,5,50,
06/06/2020,Seated Press,5,50,
06/06/2020,Seated Press,5,50,
,,,,
09/06/2020,Power Snatch,3,20,
09/06/2020,Power Snatch,3,40,
09/06/2020,Power Snatch,3,45,
09/06/2020,Power Snatch,3,45,
09/06/2020,Power Snatch,3,50,
09/06/2020,Power Snatch,3,50,
09/06/2020,Power Snatch,3,55,
09/06/2020,Power Snatch,3,55,
,,,,
09/06/2020,Snatch Pull,3,60,
09/06/2020,Snatch Pull,3,70,
09/06/2020,Snatch Pull,3,70,
09/06/2020,Snatch Pull,3,70,
09/06/2020,Snatch Pull,3,75,
09/06/2020,Snatch Pull,3,75,
09/06/2020,Snatch Pull,3,80,
,,,,
11/06/2020,Overhead Squatuat,3,20,
11/06/2020,Overhead Squatuat,3,40,
11/06/2020,Overhead Squatuat,3,50,
11/06/2020,Overhead Squatuat,3,60,
11/06/2020,Overhead Squatuat,3,64,
11/06/2020,Overhead Squatuat,3,67,
11/06/2020,Overhead Squatuat,2,70,
11/06/2020,Overhead Squatuat,2,70,
,,,,
11/06/2020,Clean,3,40,
11/06/2020,Clean,3,50,
11/06/2020,Clean,3,60,
11/06/2020,Clean,3,70,
11/06/2020,Clean,3,75,
11/06/2020,Clean,3,77,
11/06/2020,Clean,3,78,
,,,,
11/06/2020,Jerk Long Hold,3,40,
11/06/2020,Jerk Long Hold,3,45,
11/06/2020,Jerk Long Hold,3,50,
11/06/2020,Jerk Long Hold,3,50,
11/06/2020,Jerk Long Hold,3,55,
,,,,
11/06/2020,Push Press,3,40,
11/06/2020,Push Press,3,50,
11/06/2020,Push Press,3,55,
11/06/2020,Push Press,3,58,
11/06/2020,Push Press,3,60,
11/06/2020,Push Press,3,60,
,,,,
11/06/2020,Front Squat,3,50,
11/06/2020,Front Squat,3,70,
11/06/2020,Front Squat,3,75,
11/06/2020,Front Squat,3,80,
11/06/2020,Front Squat,3,85,
11/06/2020,Front Squat,2,80,
11/06/2020,Front Squat,2,80,
,,,,
16/06/2020,Snatch Balance,3,20,
16/06/2020,Snatch Balance,3,40,
16/06/2020,Snatch Balance,3,50,
16/06/2020,Snatch Balance,3,60,
16/06/2020,Snatch Balance,2,70,
16/06/2020,Snatch Balance,2,75,
16/06/2020,Snatch Balance,2,77,
16/06/2020,Snatch Balance,2,79,
,,,,
16/06/2020,Power Clean and Jerk,2,50,
16/06/2020,Power Clean and Jerk,2,60,
16/06/2020,Power Clean and Jerk,2,70,
16/06/2020,Power Clean and Jerk,2,75,
16/06/2020,Power Clean and Jerk,2,78,
16/06/2020,Power Clean and Jerk,2,82,
16/06/2020,Power Clean and Jerk,2,85,
16/06/2020,Power Clean and Jerk,2,87,
,,,,
16/06/2020,Clean Pull Blk,5,90,
16/06/2020,Clean Pull From Block,5,100,
16/06/2020,Clean Pull From Block,5,110,
16/06/2020,Clean Pull From Block,5,115,
16/06/2020,Clean Pull From Block,5,120,
16/06/2020,Clean Pull From Block,5,120,
16/06/2020,Clean Pull From Block,5,125,
,,,,
16/06/2020,Front Squat,3,50,
16/06/2020,Front Squat,3,70,
16/06/2020,Front Squat,3,80,
16/06/2020,Front Squat,3,85,
16/06/2020,Front Squat,3,90,
16/06/2020,Front Squat,3,90,
16/06/2020,Front Squat,3,90,
,,,,
16/06/2020,Good Morning,5,20,
16/06/2020,Good Morning,5,30,
16/06/2020,Good Morning,5,40,
16/06/2020,Good Morning,5,40,
16/06/2020,Good Morning,5,40,
16/06/2020,Good Morning,5,40,
16/06/2020,Good Morning,5,40,
,,,,
18/06/2020,Power Snatch,3,30,
18/06/2020,Power Snatch,3,40,
18/06/2020,Power Snatch,3,50,
18/06/2020,Power Snatch,2,55,
18/06/2020,Power Snatch,2,60,
18/06/2020,Power Snatch,2,62,
18/06/2020,Power Snatch,2,63,
18/06/2020,Power Snatch,2,64,
18/06/2020,Power Snatch,2,65,
,,,,
18/06/2020,Snatch Pull,3,65,
18/06/2020,Snatch Pull,3,75,
18/06/2020,Snatch Pull,3,80,
18/06/2020,Snatch Pull,3,85,
18/06/2020,Snatch Pull,3,90,
18/06/2020,Snatch Pull,3,93,
18/06/2020,Snatch Pull,3,95,
,,,,
18/06/2020,Jerk From Rack,3,50,
18/06/2020,Jerk From Rack,3,60,
18/06/2020,Jerk From Rack,3,70,
18/06/2020,Jerk From Rack,3,74,
18/06/2020,Jerk From Rack,3,77,
18/06/2020,Jerk From Rack,3,80,
,,,,
18/06/2020,Clean,3,50,
18/06/2020,Clean,3,60,
18/06/2020,Clean,3,64,
18/06/2020,Clean,3,68,
18/06/2020,Clean,3,72,
18/06/2020,Clean,3,76,
18/06/2020,Clean,3,79,
18/06/2020,Clean,3,81,
,,,,
18/06/2020,Jerk Long Hold,3,20,
18/06/2020,Jerk Long Hold,3,30,
18/06/2020,Jerk Long Hold,3,40,
18/06/2020,Jerk Long Hold,3,45,
18/06/2020,Jerk Long Hold,3,50,
18/06/2020,Jerk Long Hold,3,55,
18/06/2020,Jerk Long Hold,3,60,
,,,,
21/06/2020,Snatch,3,20,
21/06/2020,Snatch,2,40,
21/06/2020,Snatch,2,50,
21/06/2020,Snatch,2,60,
21/06/2020,Snatch,2,65,
21/06/2020,Snatch,2,70,
,,,,
21/06/2020,Clean,2,70,
21/06/2020,Clean,2,80,
21/06/2020,Clean,2,85,
21/06/2020,Clean,2,85,
21/06/2020,Clean,2,85,
,,,,
21/06/2020,Clean Pull,3,90,
21/06/2020,Clean Pull,3,100,
21/06/2020,Clean Pull,3,110,
21/06/2020,Clean Pull,3,115,
,,,,
21/06/2020,Squat,3,50,
21/06/2020,Squat,3,70,
21/06/2020,Squat,3,90,
21/06/2020,Squat,3,100,
21/06/2020,Squat,3,105,
21/06/2020,Squat,3,105,
21/06/2020,Squat,3,105,
,,,,
22/06/2020,Half Front Squat,3,20,
22/06/2020,Half Front Squat,3,40,
22/06/2020,Half Front Squat,3,50,
22/06/2020,Half Front Squat,3,50,
22/06/2020,Half Front Squat,3,50,
22/06/2020,Half Front Squat,3,50,
22/06/2020,Half Front Squat,3,50,
22/06/2020,Front Squat,3,60,
22/06/2020,Front Squat,3,70,
22/06/2020,Front Squat,3,80,
22/06/2020,Front Squat,3,90,
,,,,
23/06/2020,Snatch Balance,3,20,
23/06/2020,Snatch Balance,3,40,
23/06/2020,Snatch Balance,3,50,
23/06/2020,Snatch Balance,2,60,
23/06/2020,Snatch Balance,2,65,
23/06/2020,Snatch Balance,2,70,
23/06/2020,Snatch Balance,2,75,
23/06/2020,Snatch Balance,2,80,
23/06/2020,Snatch Balance,2,82,
23/06/2020,Snatch Balance,2,84,
23/06/2020,Snatch Balance,2,88,
,,,,
23/06/2020,Power Clean and Jerk,2,50,
23/06/2020,Power Clean and Jerk,2,70,
23/06/2020,Power Clean and Jerk,2,75,
23/06/2020,Power Clean and Jerk,2,80,
23/06/2020,Power Clean and Jerk,2,83,
23/06/2020,Power Clean and Jerk,2,86,
23/06/2020,Power Clean and Jerk,2,88,
23/06/2020,Power Clean and Jerk,2,90,
,,,,
23/06/2020,Snatch Pull,3,70,
23/06/2020,Snatch Pull,3,80,
23/06/2020,Snatch Pull,3,90,
23/06/2020,Snatch Pull,3,95,
23/06/2020,Snatch Pull,3,100,
